Region,Loc,CATEGORY,BRAND,PACK,RTM,Period,ACT-2017,ACT-2018,BP-2018,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Direct,TODAY,,31346.541,,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Direct,WTD,,68779.789,,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Direct,YTD,418361.312,778525.487,,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Indirect,MTD,47009.15,46597.849,45936.95908,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Indirect,TODAY,11572.064,218.753,9946.809285,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Indirect,WTD,47009.15,46597.849,45936.95908,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Indirect,YTD,511367.293,487894.401,946436.4033,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Direct,MTD,23.776,162.207,,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Direct,TODAY,,150.583,,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Direct,WTD,23.776,162.207,,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Direct,YTD,628.22,1470.957,,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Indirect,MTD,1624.196,2496.152,2356.050023,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Indirect,TODAY,667.165,,510.1595908,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Indirect,WTD,1624.196,2496.152,2356.050023,,
Center,FSD,SPARKLING,COCA-COLA,250ml CAN,Indirect,YTD,46741.553,60846.323,48534.08672,,
Center,FSD,SPARKLING,COCA-COLA,250ml NRGB,Direct,YTD,158.508,,,,
Center,FSD,SPARKLING,COCA-COLA,250ml NRGB,Indirect,MTD,14.263,,,,
Center,FSD,SPARKLING,COCA-COLA,250ml NRGB,Indirect,TODAY,11.623,,,,
Center,FSD,SPARKLING,COCA-COLA,250ml NRGB,Indirect,WTD,14.263,,,,
Center,FSD,SPARKLING,COCA-COLA,250ml NRGB,Indirect,YTD,654.63,,,,
Center,FSD,SPARKLING,COCA-COLA,250ml RGB,Indirect,MTD,31609.678,44589.897,28800.75417,,
Center,FSD,SPARKLING,COCA-COLA,250ml RGB,Indirect,TODAY,7239.787,475.546,6236.277166,,
Center,FSD,SPARKLING,COCA-COLA,250ml RGB,Indirect,WTD,31609.678,44589.897,28800.75417,,
Center,FSD,SPARKLING,COCA-COLA,250ml RGB,Indirect,YTD,614711.964,558952.53,578162.559,,
Center,FSD,SPARKLING,COCA-COLA,330ml Can,Direct,YTD,238.523,418.464,,,
Center,FSD,SPARKLING,COCA-COLA,330ml Can,Indirect,MTD,25.094,,117.9557399,,
Center,FSD,SPARKLING,COCA-COLA,330ml Can,Indirect,TODAY,6.274,,25.54116059,,
Center,FSD,SPARKLING,COCA-COLA,330ml Can,Indirect,WTD,25.094,,117.9557399,,
Center,FSD,SPARKLING,COCA-COLA,330ml Can,Indirect,YTD,1113.628,269.201,2376.442686,,
Center,FSD,SPARKLING,COCA-COLA,350ml PET,Indirect,MTD,,1404.896,1186.909298,,
Center,FSD,SPARKLING,COCA-COLA,350ml PET,Indirect,TODAY,,,257.0035254,,
Center,FSD,SPARKLING,COCA-COLA,350ml PET,Indirect,WTD,,1404.896,1186.909298,,
Center,FSD,SPARKLING,COCA-COLA,350ml PET,Indirect,YTD,,7641.184,13793.93892,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Direct,MTD,19.021,105.672,,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Direct,TODAY,,105.672,,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Direct,WTD,19.021,105.672,,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Direct,YTD,42927.141,1016.564,,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Indirect,MTD,2908.226,5553.254,3224.806196,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Indirect,TODAY,934.172,216.627,698.2728691,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Indirect,WTD,2908.226,5553.254,3224.806196,,
Center,FSD,SPARKLING,COCA-COLA,500ml PET,Indirect,YTD,73681.575,103863.633,67259.62426,,
Center,FSD,SPARKLING,COCA-COLA,750ml PET,Indirect,MTD,,3208.552,6613.748522,,
Center,FSD,SPARKLING,COCA-COLA,750ml PET,Indirect,TODAY,,,1432.086418,,
Center,FSD,SPARKLING,COCA-COLA,750ml PET,Indirect,WTD,,3208.552,6613.748522,,
Center,FSD,SPARKLING,COCA-COLA,750ml PET,Indirect,YTD,,6450.37,142267.7361,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Direct,MTD,338.151,2412.139,,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Direct,TODAY,,518.498,,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Direct,WTD,338.151,2412.139,,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Direct,YTD,30208.099,38819.652,,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Indirect,MTD,,,1084.517191,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Indirect,TODAY,,,234.8323852,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Indirect,WTD,,,1084.517191,,
Center,FSD,SPARKLING,COCA-COLA,BIB,Indirect,YTD,,,31804.71575,,
Center,FSD,SPARKLING,Coca-Cola Zero,350ml PET,Indirect,MTD,,,40.9280618,,
Center,FSD,SPARKLING,Coca-Cola Zero,350ml PET,Indirect,TODAY,,,8.862224083,,
Center,FSD,SPARKLING,Coca-Cola Zero,350ml PET,Indirect,WTD,,,40.9280618,,
Center,FSD,SPARKLING,Coca-Cola Zero,350ml PET,Indirect,YTD,,,475.6548672,,
Center,FSD,SPARKLING,DIET COKE,1500ml PET,Indirect,YTD,49.135,,,,
Center,FSD,SPARKLING,DIET COKE,250ml CAN,Indirect,MTD,,,32.49227833,,
Center,FSD,SPARKLING,DIET COKE,250ml CAN,Indirect,TODAY,,,7.035609284,,
Center,FSD,SPARKLING,DIET COKE,250ml CAN,Indirect,WTD,,,32.49227833,,
Center,FSD,SPARKLING,DIET COKE,250ml CAN,Indirect,YTD,20.594,,622.2727271,,
Center,FSD,SPARKLING,DIET COKE,250ml NRGB,Direct,YTD,22.719,,,,
Center,FSD,SPARKLING,DIET COKE,250ml NRGB,Indirect,YTD,355.584,,,,
Center,FSD,SPARKLING,DIET COKE,500ml PET,Indirect,YTD,41.213,,,,
Center,FSD,SPARKLING,DIET COKE,BIB,Direct,YTD,247.973,,,,
Center,FSD,SPARKLING,FANTA,1000ml PET,Direct,YTD,1162.391,445.936,,,
Center,FSD,SPARKLING,FANTA,1000ml PET,Indirect,MTD,8121.66,6004.007,3974.515545,,
Center,FSD,SPARKLING,FANTA,1000ml PET,Indirect,TODAY,1508.225,12.684,860.6087325,,
Center,FSD,SPARKLING,FANTA,1000ml PET,Indirect,WTD,8121.66,6004.007,3974.515545,,
Center,FSD,SPARKLING,FANTA,1000ml PET,Indirect,YTD,86452.95,93629.4,80432.24787,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Direct,MTD,187.039,4.755,,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Direct,TODAY,7.925,1.585,,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Direct,WTD,187.039,4.755,,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Direct,YTD,1041.396,1585.077,,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Indirect,MTD,8051.86,12070.064,6003.327951,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Indirect,TODAY,1179.251,28.531,1299.910995,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Indirect,WTD,8051.86,12070.064,6003.327951,,
Center,FSD,SPARKLING,FANTA,1500ml PET,Indirect,YTD,96964.535,86124.587,124226.4882,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Direct,MTD,,3347.689,,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Direct,WTD,,3347.689,,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Direct,YTD,8749.642,4313.003,,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Indirect,MTD,3003.235,4225.29,2475.166993,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Indirect,TODAY,634.879,2.378,535.9521944,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Indirect,WTD,3003.235,4225.29,2475.166993,,
Center,FSD,SPARKLING,FANTA,2250ml PET,Indirect,YTD,26119.501,26666.492,47307.80778,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Direct,MTD,1.585,52.836,,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Direct,TODAY,,52.836,,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Direct,WTD,1.585,52.836,,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Direct,YTD,39.627,195.493,,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Indirect,MTD,356.448,235.585,158.021678,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Indirect,TODAY,130.426,,34.21670753,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Indirect,WTD,356.448,235.585,158.021678,,
Center,FSD,SPARKLING,FANTA,250ml CAN,Indirect,YTD,4549.984,3014.237,3292.703579,,
Center,FSD,SPARKLING,FANTA,250ml NRGB,Indirect,YTD,1.584,,,,
Center,FSD,SPARKLING,FANTA,250ml RGB,Indirect,MTD,3626.226,2912.753,1498.05576,,
Center,FSD,SPARKLING,FANTA,250ml RGB,Indirect,TODAY,643.664,12.684,324.3766073,,
Center,FSD,SPARKLING,FANTA,250ml RGB,Indirect,WTD,3626.226,2912.753,1498.05576,,
